Verse Text (Ata Manobo),Verse Text (English)
Soini ka mgo ngaran to minuna ni Hisu Kristu. Pinanganak sikandin to igbuyag dongan no oghingaranan ki Dabid. Woy si Dabid pinanganak ni Abraham.,"This is the genealogy of Jesus the Messiah the son of David, the son of Abraham:"
"Si Abraham ka amoy ni Isaak. Si Isaak, amoy ni Hakub. Si Hakub amoy ni Huda woy to mgo sulod din.","Abraham was the father of Isaac, Isaac the father of Jacob, Jacob the father of Judah and his brothers,"
"Si Huda asawa rin si Tamar. Ka mgo anak dan ian si Piris woy si Sira. Si Piris ka amoy ni Hisron. Si Hisron, amoy ni Aram.","Judah the father of Perez and Zerah, whose mother was Tamar, Perez the father of Hezron, Hezron the father of Ram,"
"Si Aram amoy ni Aminadab. Si Aminadab, amoy ni Naasom. Si Naasom amoy ni Salmon.","Ram the father of Amminadab, Amminadab the father of Nahshon, Nahshon the father of Salmon,"
"Si Salmon asawa rin si Rahab. Ka anak dan ian si Boas. Si Boas, amoy ni Obid. Si Rut ka inoy ni Obid. Si Obid amoy ni Jesse.","Salmon the father of Boaz, whose mother was Rahab, Boaz the father of Obed, whose mother was Ruth, Obed the father of Jesse,"
"Si Jesse ka amoy to Labow no Igbuyag dongan no si Dabid. Si Dabid ka amoy ni Solomon. To inoy rin, asawa ni Urias no songo naasawa on ni Dabid.","and Jesse the father of King David. David was the father of Solomon, whose mother had been Uriah’s wife,"
"Si Solomon amoy ni Rihoboam. Si Rihoboam, amoy ni Abias. Si Abias, amoy ni Asa.","Solomon the father of Rehoboam, Rehoboam the father of Abijah, Abijah the father of Asa,"
Si Asa amoy ni Hosapat. Si Hosapat amoy ni Horam. Si Horam amoy ni Usias.,"Asa the father of Jehoshaphat, Jehoshaphat the father of Jehoram, Jehoram the father of Uzziah,"
Si Usias amoy ni Hotam. Si Hotam amoy ni Akas. Si Akas amoy ni Isikias.,"Uzziah the father of Jotham, Jotham the father of Ahaz, Ahaz the father of Hezekiah,"
Si Isikias amoy ni Manasis. Si Manasis amoy ni Amon. Si Amon amoy ni Hosias.,"Hezekiah the father of Manasseh, Manasseh the father of Amon, Amon the father of Josiah,"
Si Hosias amoy ni Joaquin woy ka mgo sulod din. Sikan ka allow to pogdakop to mgo matig Babilonia to mgo matig Israil woy to pog-alap dio to ugpaan no oghingaranan to Babilonia.,and Josiah the father of Jeconiah and his brothers at the time of the exile to Babylon.
"To diad on to Babilonia ka mgo matig Israil, duon anak ni Joaquin no si Salatiel. Si Salatiel amoy ni Sirobabil.","After the exile to Babylon: Jeconiah was the father of Shealtiel, Shealtiel the father of Zerubbabel,"
Si Sirobabil amoy ni Abiud. Si Abiud amoy ni Eliakim. Si Eliakim amoy ni Asor.,"Zerubbabel the father of Abihud, Abihud the father of Eliakim, Eliakim the father of Azor,"
Si Asor amoy ni Saduk. Si Saduk amoy ni Akim. Si Akim amoy ni Eliud.,"Azor the father of Zadok, Zadok the father of Akim, Akim the father of Elihud,"
Si Eliud amoy ni Eliasir. Si Eliasir amoy ni Matan. Si Matan amoy ni Hakub.,"Elihud the father of Eleazar, Eleazar the father of Matthan, Matthan the father of Jacob,"
Si Hakub amoy ni Husi no asawa ni Maria. Si Maria inoy ni Hisu Kristu. Si Hisu Kristu oghingaranan to Im-imanan to mgo Koot-otawan,"and Jacob the father of Joseph, the husband of Mary, and Mary was the mother of Jesus who is called the Messiah."
Sampulu woy hop-at no mgo kapunganan ligkat ki Abraham taman ki Dabid. Songo sampulu woy hop-at no mgo kapunganan ligkat ki Dabid taman to allow to pogkaalap to mgo matig Israil dio to Babilonia. Taman to pog-anak ki Hisu Kristu songo duon sampulu woy hop-at no mgo kapunganan.,"Thus there were fourteen generations in all from Abraham to David, fourteen from David to the exile to Babylon, and fourteen from the exile to the Messiah."
"Noiling soini ka pog-anak ki Hisu Kristu. Duon sagboka no lukos no oghingaranan ki Husi no og-asawoon din si Maria. Di to waro pad sikandan nakasal, natagaan ni Maria no ogkaboros sikandin pinabayo to kabogbogan to Gimukud to Magboboot.","This is how the birth of Jesus the Messiah came about: His mother Mary was pledged to be married to Joseph, but before they came together, she was found to be pregnant through the Holy Spirit."
"Di waro matagoi ni Husi to ogkaboros si Maria pinabayo to kabogbogan to Gimukud to Magboboot. Di si Husi maroyow ka batasan din no sikan ian no kono din ogkoiniatan no ogpasiporan din si Maria, omunaan no igholos din to pog-ongkod din porom ki Maria.","Because Joseph her husband was faithful to the law, and yet did not want to expose her to public disgrace, he had in mind to divorce her quietly."
"To pogsumansuman ni Husi to pog-ongkod din ki Maria, nigpatagoinop sikandin to diwata to Magboboot no nigkagi to sikan no diwata to “Koykow Husi no pinanganak ni Dabid no igbuyag dongan, kono nu ongkori si Maria su ka igkaboros din ligkat to kabogbogan to Gimukud to Magboboot.","But after he had considered this, an angel of the Lord appeared to him in a dream and said, “Joseph son of David, do not be afraid to take Mary home as your wife, because what is conceived in her is from the Holy Spirit."
Og-anak sikandin to lukos no hingarani nu sikandin ki Hisus su sikandin ka ogpakapangabang to mgo koot-otawan to mgo salo dan.”,"She will give birth to a son, and you are to give him the name Jesus, because he will save his people from their sins.”"
"Nohimu tibo sikan ki Maria woy ki Husi oyow ogkatuman ka innangon dongan to Magboboot pinabayo to talagnangon din no nigkagi rin to,",All this took place to fulfill what the Lord had said through the prophet:
“Ogkaboros ka sagboka no dalaga no waro pad magongoni to lukos. Og-anak sikandin to bato no lukos no soini no bato oghingaranan ki Imanwil no ka kalitukan to ngaran din ‘Nig-amut kanta ka Magboboot.’”,"“The virgin will conceive and give birth to a son, and they will call him Immanuel” (which means “God with us”)."
"Nò, to nakahimata si Husi, pigtuman din ka kagi to diwata to Magboboot dio to kandin. Nò, pig-asawa rin on si Maria.","When Joseph woke up, he did what the angel of the Lord had commanded him and took Mary home as his wife."
"Di waro pad huliri ni Husi si Maria taman to nig-anak sikandin. Poglusot on to bato, si Hisus ka inngaran ni Husi.",But he did not consummate their marriage until she gave birth to a son. And he gave him the name Jesus.
"No, in-anak on si Hisus dio to Bitlihim no lunsud to probinsia to Hudia to si Hirodis pad ka labow no igbuyag. No, kono no kalugoy no nokouma dio to Hirusalim no mgo otow no mamimituon. Ligkat sikandan dio to mariu no ugpaan to ogsilaan to allow. Pogkouma to mgo otow no mamimituon dio to dakol no lunsud to Hirusalim,","After Jesus was born in Bethlehem in Judea, during the time of King Herod, Magi from the east came to Jerusalem."
"nig-inso sikandan to mgo otow no nigkagi to, “Hondoi ianak ka bato no Labow no Igbuyag to mgo Hudiu uromo? Nigkita noy ka bituon dio to ogsilaan to allow no indanan to poglusot kandin. Ian noy inhondini oyow ogsimboon noy sikandin.”","and asked, “Where is the one who has been born king of the Jews? We saw his star when it rose and have come to worship him.”"
"Pogkarinog to labow no igbuyag no si Hirodis woy to mgo otow dio to Hirusalim to soini, naaras lagboy sikandan tibo.","When King Herod heard this he was disturbed, and all Jerusalem with him."
"Piglimud ni Hirodis ka tibo no mgo igbuyag to mgo talagpanubad woy mgo talag-anad to Balaod. To nalimudlimud on sikandan, nig-inso sikandin no nigkagi to, “Hondoi ianak ka Im-imanan to mgo Koot-otawan”","When he had called together all the people’s chief priests and teachers of the law, he asked them where the Messiah was to be born."
"Nigtabak sikandan no nigkagi to, “Dio to lunsud to Bitlihim to probinsia to Hudia. Natagaan noy soini su duon ingkasulat dio to kinagian to Magboboot pinabayo to talagnangon din dongan no nigkagi to,","“In Bethlehem in Judea,” they replied, “for this is what the prophet has written:"
"‘Sikaniu no matig Bitlihim no og-ugpodio to probinsia to Huda, labow kow to mgo duma no mgo lunsud su dio to kaniu ogpuun ka songo Igbuyag no og-alap to mgo otow ku no kapunganan ni Israil.’ ”","‘But you, Bethlehem, in the land of Judah, are by no means least among the rulers of Judah; for out of you will come a ruler who will shepherd my people Israel.’”"
"Pogkarinog ni Hirodis to soini, impoumow rin ka mgo otow no mamimituon. Pogpokouma ran dio to kandin no ian sikandan do, pig-insaan din sikandan ko kon-u ian nigsilo ka bituon no nakita ran.",Then Herod called the Magi secretly and found out from them the exact time the star had appeared.
"Pogkataga rin, nigsugu din sikandan dio to Bitlihim. Kagi rin, “Ay-ayari now to pamangho to sikan no bato no ko ogkitoon now on ka bato, libong kow dii to koddi su oghondian ku sikandin oyow ogsimboon ku sikandin.”","He sent them to Bethlehem and said, “Go and search carefully for the child. As soon as you find him, report to me, so that I too may go and worship him.”"
"Nò, nighipanow sikandan dio to Bitlihim. To diad on sikandan to dalan, nigkita ran man do ka sikan no bituon no nigkita ran no nigsilo dio to ogsilaan to allow. Narago lagboy sikandan to pogkakita ran to bituon. Sikan no bituon ka nigtuon kandan taman to longod to baloy no duon ka sikan no bato.","After they had heard the king, they went on their way, and the star they had seen when it rose went ahead of them until it stopped over the place where the child was.  When they saw the star, they were overjoyed."
